crop_name,variety,category,state,district,mandi_name,season,month,quantity_kg,grade,demand_index,historical_avg_price,unit_price,is_synthetic
Mango,Local,Fruit,Maharashtra,Mumbai,Vashi APMC,Kharif,8,1621.87,Grade B,1.62,60.38,102.48,True
Groundnut,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Rabi,10,3594.45,Grade B,1.45,50.21,60.0,True
Wheat,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,10,1749.76,Grade C,1.6,29.43,36.04,True
Mango,Local,Fruit,Maharashtra,Mumbai,Vashi APMC,Kharif,8,2996.3,Grade A,0.78,64.71,58.87,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Vashi APMC,Rabi,6,3326.47,Grade A,1.5,20.75,38.94,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,11,325.25,Grade A,0.61,18.92,11.65,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Rabi,2,4483.04,Grade C,1.69,49.09,57.2,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Kharif,3,1743.43,Grade B,1.12,25.46,28.56,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,4,3682.72,Grade C,1.36,64.17,75.24,True
Rice,Basmati,Cereal,Maharashtra,Nashik,Nashik APMC,Zaid,7,3310.37,Grade A,1.72,76.58,160.36,True
Rice,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,10,1667.63,Grade B,0.61,36.31,21.01,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Kharif,5,637.61,Grade A,1.78,44.85,99.09,True
Mango,Local,Fruit,Maharashtra,Mumbai,Vashi APMC,Rabi,12,561.16,Grade C,0.81,55.93,39.21,True
Rice,Basmati,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,7,4850.13,Grade B,1.12,72.42,81.54,True
Onion,Red,Vegetable,Maharashtra,Nashik,Nashik APMC,Year-Round,6,1171.28,Grade B,1.34,22.86,31.8,True
Rice,Basmati,Cereal,Maharashtra,Pune,Pune APMC,Kharif,6,2412.88,Grade B,1.02,81.92,87.12,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Rabi,6,2360.13,Grade A,1.18,24.1,35.59,True
Wheat,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,11,3918.45,Grade C,0.93,26.81,19.07,True
Rice,Common,Cereal,Maharashtra,Nashik,Nashik APMC,Rabi,5,1593.42,Grade A,0.9,38.33,44.17,True
Onion,Red,Vegetable,Maharashtra,Nashik,Nashik APMC,Kharif,7,2117.45,Grade B,0.74,23.07,18.16,True
Mango,Local,Fruit,Maharashtra,Mumbai,Vashi APMC,Kharif,4,2775.78,Grade B,1.08,67.1,71.2,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Zaid,3,1806.74,Grade C,1.1,27.31,25.24,True
Onion,Red,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,4,2124.96,Grade A,0.8,22.27,21.13,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Year-Round,9,1599.6,Grade C,1.6,74.7,93.98,True
Rice,Common,Cereal,Maharashtra,Pune,Pune APMC,Kharif,3,502.3,Grade B,0.98,31.73,25.85,True
Rice,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Rabi,10,1223.87,Grade B,0.73,35.01,26.2,True
Soybean,Local,Oilseed,Maharashtra,Pune,Pune APMC,Zaid,9,1576.92,Grade B,1.29,44.19,53.91,True
Potato,Local,Vegetable,Maharashtra,Pune,Pune APMC,Zaid,4,1655.51,Grade B,0.88,18.65,15.86,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Zaid,4,1942.15,Grade C,1.34,31.33,34.65,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,1,2183.37,Grade B,0.97,21.65,20.12,True
Onion,Red,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,12,695.98,Grade B,1.28,24.45,29.95,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Nashik APMC,Rabi,7,4034.57,Grade A,0.66,43.34,31.15,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Zaid,5,4743.85,Grade A,0.97,41.74,44.08,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Kharif,6,1107.81,Grade B,1.1,18.89,23.8,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,7,80.97,Grade A,0.67,53.74,48.4,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Indore Mandi,Zaid,8,511.32,Grade A,1.09,26.95,34.31,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Year-Round,5,495.09,Grade C,0.83,25.28,18.44,True
Green Chilli,Local,Spice,Uttar Pradesh,Agra,Agra Mandi,Zaid,10,3330.84,Grade A,1.64,42.57,72.27,True
Onion,Red,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Rabi,10,1082.51,Grade B,0.96,22.18,20.53,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Zaid,6,671.55,Grade A,0.81,22.55,24.54,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Rabi,6,1336.15,Grade A,1.66,17.55,37.07,True
Rice,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Zaid,4,3378.3,Grade B,1.59,37.74,57.98,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,11,1834.35,Grade B,1.41,19.4,25.09,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Nashik APMC,Rabi,4,4887.54,Grade B,1.55,48.21,74.24,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,11,2085.39,Grade B,1.11,19.03,17.74,True
Rice,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,1,689.41,Grade B,0.72,36.56,28.91,True
Mango,Local,Fruit,Madhya Pradesh,Indore,Indore Mandi,Kharif,12,1015.29,Grade C,1.38,68.44,79.15,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rajkot APMC,Year-Round,10,1474.76,Grade A,0.71,41.38,30.05,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Rabi,8,3748.04,Grade A,0.86,48.86,47.67,True
Groundnut,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Kharif,10,2991.0,Grade C,1.09,60.26,50.66,True
Onion,Red,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Year-Round,3,2763.32,Grade B,0.81,23.77,16.08,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,12,871.21,Grade C,0.63,21.15,8.8,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Year-Round,10,2062.62,Grade A,0.77,36.81,31.45,True
Onion,Red,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,4,3091.7,Grade A,1.3,23.48,32.7,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,3,2987.63,Grade A,0.62,51.02,36.06,True
Rice,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,12,4625.06,Grade A,1.15,29.37,35.0,True
Groundnut,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Zaid,11,1528.98,Grade B,1.67,49.93,78.09,True
Rice,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Year-Round,4,2850.44,Grade C,1.22,35.28,33.72,True
Rice,Basmati,Cereal,Maharashtra,Pune,Pune APMC,Kharif,11,1239.48,Grade C,0.71,71.23,39.16,True
Groundnut,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Zaid,11,2682.77,Grade C,1.65,52.53,69.72,True
Tomato,Hybrid,Vegetable,Maharashtra,Nashik,Nashik APMC,Rabi,6,2981.89,Grade B,1.43,27.7,40.76,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Year-Round,4,3779.69,Grade B,1.65,45.64,71.0,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Ludhiana Mandi,Kharif,6,1572.27,Grade A,1.19,52.2,79.43,True
Wheat,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,3,2418.53,Grade C,1.3,26.09,26.46,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,7,1207.02,Grade C,1.37,20.84,26.03,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Kharif,1,4886.31,Grade B,1.25,20.77,23.97,True
Potato,Local,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Kharif,8,4624.33,Grade A,1.77,17.26,34.72,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,1,3396.72,Grade A,0.97,23.44,20.83,True
Rice,Common,Cereal,Maharashtra,Pune,Pune APMC,Year-Round,9,1920.3,Grade B,0.67,35.22,18.51,True
Potato,Local,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,4,2033.49,Grade C,0.74,17.69,11.75,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Zaid,6,3258.76,Grade B,0.67,46.44,32.87,True
Maize,Hybrid,Cereal,Maharashtra,Pune,Pune APMC,Rabi,2,2037.24,Grade A,1.01,21.51,20.99,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Kharif,6,339.9,Grade B,1.26,21.59,30.52,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,4,2724.38,Grade A,0.7,19.24,15.06,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,3,799.66,Grade C,1.12,18.79,17.07,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rajkot APMC,Zaid,6,2410.35,Grade B,1.36,46.77,69.09,True
Green Chilli,Local,Spice,Madhya Pradesh,Indore,Indore Mandi,Zaid,10,4939.36,Grade B,0.99,44.93,35.31,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Zaid,5,101.94,Grade B,1.67,28.89,51.31,True
Groundnut,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Kharif,12,4081.21,Grade C,0.94,54.23,36.12,True
Onion,Red,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,2,3017.33,Grade A,1.68,19.72,32.35,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Zaid,11,4140.39,Grade A,1.31,27.28,35.6,True
Rice,Basmati,Cereal,Maharashtra,Pune,Pune APMC,Year-Round,10,3932.81,Grade C,1.32,78.13,75.55,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,7,2417.76,Grade A,0.63,36.22,28.22,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Kharif,10,2737.84,Grade B,1.05,41.38,37.34,True
Potato,Local,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,3,4423.65,Grade A,0.92,17.83,15.41,True
Potato,Local,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,7,2626.22,Grade A,1.79,17.07,35.9,True
Green Chilli,Local,Spice,Maharashtra,Nashik,Nashik APMC,Zaid,6,4120.58,Grade A,1.68,31.52,65.45,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Year-Round,8,2285.25,Grade C,1.72,47.83,72.58,True
Onion,Red,Vegetable,Maharashtra,Nashik,Nashik APMC,Zaid,5,4747.45,Grade C,0.77,23.72,13.11,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Vashi APMC,Year-Round,12,3227.01,Grade A,1.09,15.77,17.8,True
Onion,Red,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Kharif,9,537.2,Grade A,1.75,24.69,48.9,True
Rice,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,9,302.33,Grade A,1.34,36.13,51.88,True
Tomato,Desi,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Zaid,2,3157.34,Grade B,1.38,19.26,23.82,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Rabi,12,2474.86,Grade C,1.36,47.44,54.33,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Zaid,7,1399.62,Grade A,1.48,28.88,49.35,True
Onion,Red,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Rabi,10,4456.18,Grade A,1.38,25.46,34.45,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,12,3393.51,Grade A,1.08,33.37,35.81,True
Rice,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Zaid,11,1781.78,Grade B,0.89,31.9,27.29,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,3,4146.12,Grade A,0.91,52.38,48.32,True
Groundnut,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Zaid,9,3991.41,Grade B,1.48,53.85,78.58,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Kharif,12,3016.53,Grade C,1.22,29.85,28.45,True
Rice,Basmati,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,2,4710.3,Grade A,0.81,69.65,54.68,True
Tomato,Desi,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,8,2630.82,Grade A,1.68,20.37,40.22,True
Maize,Hybrid,Cereal,Gujarat,Rajkot,Rajkot APMC,Rabi,7,2176.88,Grade B,1.5,22.25,36.02,True
Potato,Local,Vegetable,Maharashtra,Nashik,Nashik APMC,Rabi,8,1271.94,Grade A,0.97,21.06,25.24,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Year-Round,11,484.55,Grade C,0.81,39.64,26.16,True
Mango,Local,Fruit,Gujarat,Rajkot,Rajkot APMC,Year-Round,4,3264.43,Grade A,1.4,64.44,102.16,True
Onion,Red,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Rabi,4,4984.9,Grade C,1.46,23.14,26.55,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,5,733.72,Grade A,1.63,25.61,51.09,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,7,1597.36,Grade A,1.09,47.01,63.17,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Kharif,9,801.84,Grade B,0.99,44.73,43.79,True
Mango,Local,Fruit,Maharashtra,Pune,Pune APMC,Zaid,10,778.77,Grade B,0.85,70.38,50.74,True
Rice,Basmati,Cereal,Maharashtra,Mumbai,Vashi APMC,Year-Round,8,4134.8,Grade A,1.55,81.71,137.91,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Vashi APMC,Rabi,3,3950.45,Grade B,1.68,26.6,38.76,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,10,2752.32,Grade C,1.71,20.5,26.87,True
Onion,Red,Vegetable,Maharashtra,Nashik,Nashik APMC,Rabi,7,4273.98,Grade B,0.99,22.27,21.87,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Pune APMC,Zaid,2,365.24,Grade A,0.81,54.94,46.38,True
Green Chilli,Local,Spice,Uttar Pradesh,Agra,Agra Mandi,Year-Round,11,4069.13,Grade A,1.73,42.61,74.02,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Kharif,8,3404.73,Grade B,0.9,21.89,19.36,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Indore Mandi,Zaid,6,486.35,Grade C,0.83,29.21,24.23,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Pune APMC,Zaid,9,1573.98,Grade B,1.17,23.47,23.07,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,2,2068.5,Grade A,1.66,27.13,47.49,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Indore Mandi,Zaid,9,704.83,Grade B,1.77,27.8,47.73,True
Tomato,Desi,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Zaid,9,899.4,Grade A,0.8,19.18,16.94,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Rabi,6,2396.33,Grade C,1.14,22.16,24.1,True
Onion,Red,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Kharif,3,4480.53,Grade B,1.62,20.52,29.8,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Rabi,7,1638.23,Grade C,1.32,44.99,53.75,True
Onion,Red,Vegetable,Gujarat,Rajkot,Rajkot APMC,Year-Round,5,1061.0,Grade A,1.1,20.74,28.31,True
Rice,Basmati,Cereal,Maharashtra,Mumbai,Vashi APMC,Rabi,7,4647.6,Grade C,1.12,75.2,68.54,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Vashi APMC,Zaid,1,3607.65,Grade B,0.73,22.0,13.71,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,10,4393.39,Grade B,1.53,24.81,32.87,True
Tomato,Desi,Vegetable,Maharashtra,Pune,Pune APMC,Year-Round,8,1637.59,Grade C,1.27,21.46,22.82,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Kharif,11,1372.02,Grade C,1.24,21.27,21.87,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Year-Round,4,4146.24,Grade C,0.6,41.17,17.93,True
Wheat,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,6,2799.97,Grade A,0.95,23.9,25.89,True
Rice,Basmati,Cereal,Maharashtra,Mumbai,Vashi APMC,Year-Round,3,1684.27,Grade C,0.73,68.66,35.55,True
Rice,Common,Cereal,Maharashtra,Nashik,Nashik APMC,Zaid,6,3603.77,Grade B,0.94,34.74,31.68,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,6,115.48,Grade A,1.21,39.47,61.8,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,4,3784.96,Grade C,1.13,39.6,37.18,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Kharif,6,3290.89,Grade B,1.09,18.73,21.7,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Zaid,1,247.07,Grade A,0.93,43.62,43.82,True
Rice,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,2,3829.4,Grade C,0.73,34.87,18.7,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Zaid,2,2278.9,Grade B,1.24,47.59,53.04,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Vashi APMC,Zaid,4,3196.44,Grade C,1.03,20.48,16.04,True
Onion,Red,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Rabi,1,1023.61,Grade A,0.88,23.72,20.83,True
Wheat,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Kharif,11,3577.69,Grade B,0.83,23.07,13.85,True
Onion,Red,Vegetable,Maharashtra,Pune,Pune APMC,Zaid,9,3435.16,Grade B,0.63,20.05,12.79,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Nashik APMC,Kharif,5,1964.7,Grade A,0.7,43.37,34.45,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,9,1265.48,Grade C,1.57,23.44,29.49,True
Tomato,Desi,Vegetable,Gujarat,Rajkot,Rajkot APMC,Rabi,11,1239.09,Grade A,1.13,19.32,23.28,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Pune APMC,Rabi,5,3016.9,Grade A,0.84,25.0,24.29,True
Wheat,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,9,1604.52,Grade C,1.2,28.91,27.54,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Rabi,10,1345.67,Grade B,1.35,43.43,54.67,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Pune APMC,Zaid,1,2182.75,Grade B,0.97,26.73,24.38,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Year-Round,5,3026.85,Grade B,1.01,42.96,44.15,True
Rice,Basmati,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,10,359.41,Grade A,1.06,68.82,87.29,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Year-Round,9,1134.67,Grade A,0.74,72.6,68.64,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,4,2680.22,Grade A,1.07,24.16,29.2,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,8,3419.33,Grade B,1.4,19.5,27.23,True
Wheat,Common,Cereal,Maharashtra,Pune,Pune APMC,Rabi,7,1969.09,Grade C,0.77,29.46,20.98,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Year-Round,4,2120.54,Grade B,0.97,18.04,17.75,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Rabi,11,3089.96,Grade A,0.99,22.43,21.52,True
Potato,Local,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,11,467.11,Grade C,1.03,16.33,14.43,True
Potato,Local,Vegetable,Maharashtra,Pune,Pune APMC,Kharif,5,639.58,Grade B,0.77,18.22,13.31,True
Wheat,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Kharif,8,4646.55,Grade B,1.49,25.57,35.55,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Rabi,2,311.49,Grade B,1.47,43.68,57.12,True
Potato,Local,Vegetable,Maharashtra,Nashik,Nashik APMC,Year-Round,10,872.96,Grade A,1.06,18.5,20.91,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Rabi,10,2979.0,Grade A,0.83,43.57,39.78,True
Mango,Local,Fruit,Maharashtra,Nashik,Nashik APMC,Rabi,11,725.03,Grade B,1.47,61.93,88.61,True
Onion,Red,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Rabi,6,3762.27,Grade B,1.57,21.57,36.02,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Nashik APMC,Rabi,6,4319.32,Grade B,0.98,22.24,21.9,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,8,1719.47,Grade A,0.82,72.94,63.12,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Vashi APMC,Rabi,9,2311.25,Grade A,1.61,24.36,41.52,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,10,2357.95,Grade A,1.55,19.46,29.0,True
Rice,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,8,4721.7,Grade A,0.9,34.37,32.89,True
Onion,Red,Vegetable,Maharashtra,Mumbai,Vashi APMC,Zaid,6,3286.24,Grade B,1.02,23.57,25.46,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Zaid,11,4349.36,Grade B,1.28,34.15,38.89,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,5,1485.72,Grade B,0.84,20.68,17.62,True
Mango,Local,Fruit,Gujarat,Rajkot,Rajkot APMC,Rabi,8,900.97,Grade A,1.26,59.47,86.59,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Rabi,12,4535.86,Grade B,1.49,30.53,41.16,True
Mango,Local,Fruit,Maharashtra,Pune,Pune APMC,Zaid,10,4262.21,Grade B,1.02,62.6,56.56,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Rabi,9,699.88,Grade B,0.97,42.44,42.03,True
Onion,Red,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Rabi,11,3494.19,Grade B,1.73,21.98,34.09,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Vashi APMC,Zaid,7,4762.87,Grade A,1.01,23.83,29.25,True
Mango,Local,Fruit,Karnataka,Bengaluru,Bengaluru APMC,Rabi,1,479.2,Grade C,1.25,63.93,66.38,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Kharif,2,3769.55,Grade C,1.73,25.54,33.94,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Year-Round,7,3519.0,Grade B,1.52,47.34,75.41,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Ludhiana Mandi,Zaid,10,1557.23,Grade A,1.78,44.32,84.4,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Indore Mandi,Year-Round,5,2200.93,Grade A,1.64,20.81,39.32,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Year-Round,2,3724.73,Grade B,0.87,21.74,15.75,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Nashik APMC,Zaid,1,2029.92,Grade B,0.67,48.45,30.05,True
Rice,Common,Cereal,Maharashtra,Pune,Pune APMC,Kharif,7,2125.71,Grade A,1.44,35.38,57.12,True
Tomato,Desi,Vegetable,Maharashtra,Nashik,Nashik APMC,Year-Round,8,1588.04,Grade A,1.22,19.83,29.43,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rajkot APMC,Kharif,11,2311.6,Grade B,1.17,46.4,49.49,True
Rice,Basmati,Cereal,Maharashtra,Nashik,Nashik APMC,Rabi,2,2428.77,Grade C,0.68,61.81,36.22,True
Mango,Local,Fruit,Madhya Pradesh,Indore,Indore Mandi,Rabi,5,357.92,Grade C,1.59,60.56,82.43,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Pune APMC,Kharif,2,919.58,Grade C,1.22,24.61,22.21,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,10,1679.69,Grade C,0.66,17.39,8.53,True
Groundnut,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,8,667.0,Grade A,1.75,60.63,128.21,True
Tomato,Hybrid,Vegetable,Maharashtra,Nashik,Nashik APMC,Kharif,9,984.53,Grade B,1.1,24.86,27.18,True
Potato,Local,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,8,4471.86,Grade A,1.12,15.54,21.71,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Rabi,7,1712.29,Grade C,1.34,34.17,42.63,True
Rice,Basmati,Cereal,Maharashtra,Nashik,Nashik APMC,Year-Round,5,2920.16,Grade A,0.94,70.95,72.1,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,3,458.73,Grade C,0.79,25.99,13.03,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,2,1550.94,Grade A,1.76,34.55,63.09,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,2,4691.32,Grade A,1.42,28.91,41.51,True
Groundnut,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Kharif,2,2277.22,Grade A,1.43,56.43,76.53,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Year-Round,4,4888.41,Grade A,1.62,30.02,52.43,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,5,2600.08,Grade A,1.79,19.24,42.04,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Zaid,1,1767.45,Grade A,1.12,27.81,34.94,True
